Wavelet,Average MAE,Average Compression Rate,Average MAE (Single Term),Average Compression Rate (Single Term)
sym5,0.11479568884000182,0.08156585693359375,0.054738927345722915,0.27931976318359375
rbio1.5,0.11641221649348736,0.08156585693359375,0.05625646473281085,0.27931976318359375
bior5.5,0.11750430339202285,0.11692047119140625,0.06407589468546211,0.3362579345703125
sym9,0.11759573924988508,0.23291778564453125,0.060695153350010515,0.5258865356445312
coif3,0.11850344640985132,0.23291778564453125,0.06802036437727511,0.5258865356445312
sym13,0.11897954558059573,0.5287628173828125,0.06413368467725813,0.9423370361328125
coif4,0.11899095121771097,0.4609375,0.06938536585867405,0.8418197631835938
rbio2.6,0.11921740652769804,0.14971923828125,0.06633165995813906,0.39208984375
coif5,0.11992247046753764,0.7564620971679688,0.07056185623221099,1.2407760620117188
coif6,0.12079866179600358,1.1683349609375,0.07148569746986032,1.7728347778320312
sym17,0.12091889674663543,0.9892578125,0.06650287798643112,1.5517578125
db8,0.12119549651816487,0.202423095703125,0.06217600940018892,0.46932220458984375
coif7,0.12154711640104651,1.7019577026367188,0.07221459714770317,2.4446334838867188
db11,0.12181792344897985,0.366851806640625,0.07644191667921842,0.716766357421875
coif8,0.12218067018091679,2.4862060546875,0.07280659571811557,3.3862838745117188
coif2,0.12219876271262765,0.11692047119140625,0.06650739856287836,0.3362579345703125
sym8,0.12245525777116417,0.202423095703125,0.06537302315123379,0.46932220458984375
db14,0.12257399940118194,0.6480560302734375,0.07061180523373187,1.0960922241210938
coif9,0.12271974473968149,3.2900543212890625,0.07330532159917057,4.3679962158203125
coif10,0.12318261308372021,4.4027099609375,0.07373823465891183,5.680213928222656
db17,0.12332433206364513,0.9892578125,0.07300563050918281,1.5517578125
coif11,0.12358437335640192,5.5625,0.07411513781175018,7.0625
coif12,0.12393653362095355,7.225196838378906,0.07444505345970392,8.97186279296875
bior3.5,0.12408203746750951,0.11692047119140625,0.07326856819316745,0.3362579345703125
db20,0.12414647945165634,1.5469131469726562,0.07785697855949401,2.241455078125
coif13,0.12424795608893037,8.95068359375,0.07473607038483024,10.96942138671875
coif14,0.12452564007118344,10.914604187011719,0.07499512945190072,13.2320556640625
coif15,0.12477497913613915,13.169601440429688,0.07522786143645645,15.813644409179688
db5,0.12499953681007028,0.08156585693359375,0.0760097238894552,0.27931976318359375
coif16,0.12500031064078213,16.06336212158203,0.0754384571891278,19.0631103515625
db23,0.12514090692475438,2.186065673828125,0.07103339226730168,3.031463623046875
coif17,0.12520505282506347,18.746788024902344,0.07562977054156363,22.132591247558594
sym14,0.12538606592342258,0.6480560302734375,0.06768779524900019,1.0960922241210938
bior3.9,0.1256950530514121,0.30287933349609375,0.07377498498558999,0.623504638671875
dmey,0.12609333547130228,4.797737121582031,0.07697394918240606,6.146797180175781
db26,0.12623591978773474,2.9859695434570312,0.07794428448602557,4.0022735595703125
db36,0.12628228718861936,7.225196838378906,0.07797801172658801,8.97186279296875
db33,0.12664608273282646,5.5625,0.07685127860829234,7.0625
db4,0.12667502139285206,0.06479644775390625,0.07579769275598228,0.24237060546875
db7,0.1268917338460684,0.14971923828125,0.06316867976300418,0.39208984375
db30,0.1272328608125448,4.4027099609375,0.07340651789009571,5.680213928222656
